cancel	huỷ bỏ
European	Châu Âu
list	danh sách
strange	kỳ lạ
lack	thiếu sót
external	bên ngoài
wire	dây điện
spending	chi tiêu
circumstance	tình huống
revise	đọc lại, xem lại, sửa lại, ôn lại
success	sự thành công
authority	thẩm quyền
creature	sinh vật
shocking	gây ra căm phẫn, tồi tệ, gây kích động
child	đứa trẻ
legislature	cơ quan lập pháp
regional	khu vực
young	trẻ
instrument	dụng cụ
gasoline	xăng
medium	Trung bình
remove	tẩy
fatal	gây tử vong
hormone	hoocmon
wisdom	sự khôn ngoan
psychology	tâm lý học
treasure	kho báu
airline	hãng hàng không
ridge	cây rơm
live	trực tiếp
uncertain certain	không chắc chắn, khôn biết rõ ràng
sexy	sexy
victory	chiến thắng
mobile	di động
perform	biểu diễn
evolution	sự phát triển
peak	cao điểm
halfway	nửa chừng
portrait	Chân dung
with	với
complaint	lời phàn nàn
service	dịch vụ
coffee	cà phê
there	ở đó
lady	quý bà
analyst	nhà phân tích
magazine	tạp chí
pocket	bỏ túi
offense	xúc phạm
channel	kênh
focus	tiêu điểm
invisible	vô hình
favorable	thuận lợi
changing	thay đổi
entire	toàn bộ
approach	tiếp cận
wrist	cổ tay
pen	cây bút
e-mail	e-mail
kilogram	kilôgam
per	mỗi
write	viết
pet	vật nuôi
wage	tiền lương
fiber	chất xơ
period	giai đoạn
proceed	tiếp tục
musical	âm nhạc
bulb	bóng đèn
corporation	tập đoàn
loyalty	lòng trung thành
oh exclamation	chao, ôi chao, chà, này..
understand	hiểu không
birth	Sinh
dismiss	bỏ qua
classroom	phòng học
underlying	cơ bản
slowly	chậm rãi
heaven	thiên đường
jointly	cùng nhau, cùng chung
intelligence	Sự thông minh
ever	không bao giờ
unhappy	không vui
winner	người chiến thắng
million	triệu
even	cũng
install	cài đặt, dựng lên
strongly	mạnh mẽ
analyze	phân tích
integration	hội nhập
restriction	sự hạn chế
yours sincerely	bạn chân thành của anh, chị..
indication	dấu hiệu
bulk	số lượng lớn
tv television	vô tuyến truyền hình
bull	con bò
champion	quán quân
engaged	đã đính ước, đã hứa hôn; đã có người
gun	súng
hundred	hàng trăm
wait	chờ đợi
circuit	mạch
American	Người Mỹ
queen	nữ hoàng
gut	ruột
guy	chàng
restrict	giới hạn
instant	tức thời
disgusted	chán ghét, phẫn nộ
injured	bị tổn thương, bị xúc phạm
native	tự nhiên
peer	ngang nhau
costly	tốn kém
documentary	phim tài liệu
monday	thứ 2
violence	bạo lực
consequence	hậu quả
particularly	đặc biệt
dominant	có ưu thế
worrying	gấy lo lắng, gây lo nghĩ
peel	lột vỏ
granddaughter	cháu gái
driveway	đường lái xe
framework	khuôn khổ
curiously	tò mò, hiếu kỳ, lạ kỳ
entity	thực thể
tide	thủy triều
prohibit	cấm
tonight	tối nay
franchise	nhượng quyền thương mại
bacteria	vi khuẩn
almost	hầu hết
arrow	mũi tên
equally	bằng nhau
manner	cách thức
look at	nhìn, ngắm, xem
at first	trực tiếp
pie	chiếc bánh
associate	liên kết
harmful	gây tai hại, có hại
rather than	hơn là
pig	con lợn
ice cream	kem
wake	đánh thức
judgment	phán đoán
pin	ghim
charity	từ thiện
whether	liệu
pit	hố
mineral	khoáng sản
sneak	sneak
stock	cổ phần
suspend	đình chỉ
beneath	ở trên
terror	khủng bố
everyone	tất cả mọi người
ritual	lễ nghi
liability	trách nhiệm pháp lý
have to modal	phải
basis	nền tảng
army	quân đội
senator	thượng nghị sĩ
girlfriend	bạn gái
clinical	lâm sàng
snow	tuyết
arms	vũ khí, binh giới, binh khí
gym	phòng thể dục
evil	tà ác
governor	thống đốc
rarely	ít khi
basic	căn bản
lake	hồ
twist	xoắn
locate	định vị
unite	thống nhất
bush	cây bụi
fruit	trái cây
prisoner	Tù nhân
cause	nguyên nhân
combat	chống lại
accidentally	tình cờ, ngẫu nhiên
unity	thống nhất
pursue	theo đuổi
twentieth	hai mươi
intended	có ý định, có dụng ý
busy	bận
convey	chuyên chở
design	thiết kế
extra	thêm
friday	thứ sáu
land	đất đai
working	đang làm việc
victim	nạn nhân
Cuban	Cuba
skull	sọ
department	bộ phận
lane	lane
pastor	mục sư
burn	đốt cháy
garlic	tỏi
predator	người ăn thịt
chief	giám đốc
countryside	miền quê, miền nông thôn
aircraft	phi cơ
automatic	tự động
lamp	đèn
satisfying	đem lại sự thỏa mãn, làm thỏa mãn, làm vừa ý
despite	mặc dù
consecutive	liên tiếp
burning	đốt
English	Anh
jewellery	nữ trang, kim hoàn
zero number	số không
bury	chôn
conduct	hạnh kiểm
obey	vâng lời, tuân theo, tuân lệnh
look for	tìm kiếm
fantastic	tuyệt diệu
interested	quan tâm
tidy	sạch sẽ, ngăn nắp, gọn gàng; làm cho sạch sẽ, gọn gàng, ngăn nắp
formerly	trước kia
wall	Tường
walk	đi bộ
policeman	cảnh sát
quietly	lặng lẽ
marry	kết hôn
decay	tình trạng suy tàn, suy sụp, tình trạng đổ nát
advertising	quảng cáo
discussion	thảo luận
liberty	tự do
championship	chức vô địch
Hispanic	Người Hispanic
meeting	gặp gỡ
welcome	chào mừng
drift	trôi dạt
give sth away	cho, phát
chaos	hỗn loạn
separately	không cùng nhau, thành người riêng, vật riêng
want	muốn
forecast	sự dự đoán, dự báo; dự đoán, dự báo
thickly	dày; dày đặc; thành lớp dày
uncover	khám phá
recognize	nhìn nhận
warehouse	Kho
processor	bộ vi xử lý
bad-tempered	xấu tính, dễ nổi cáu
input	đầu vào
difference	Sự khác biệt
reality	thực tế
must	phải
demonstration	trình diễn
molecule	phân tử
offend	xúc phạm, làm bực mình, làm khó chịu
circle	vòng tròn
butt	mông
in exchange	trong việc trao đổi về
resign	từ chức
sophisticated	tinh vi
neatly	gọn gàng, ngăn nắp
aluminum	nhôm
chase	đuổi theo
prize	giải thưởng
accident	Tai nạn
marine	biển
anyway	dù sao
pop	nhạc pop
hairdresser	thợ làm tóc
found	tìm
routine	công Việt Hằng ngày
excuse	tha
pot	nồi
defense	phòng thủ
currency	tiền tệ
escape	thoát khỏi
born: be born	sinh, đẻ
convict	tù nhân
emerging	mới nổi
funny	buồn cười
latest	muộn nhất, chậm nhất, gần đây nhất
receive	nhận được
intimate	thân mật
disclose	tiết lộ
entirely	hoàn toàn
religion	tôn giáo
diagram	biểu đồ
standing	đứng
charm	quyến rũ
tragedy	bi kịch
chart	đồ thị
fridge	tủ lạnh
friendship	hữu nghị
till	cho đến
attend	tham gia
goods	của cải, tài sản, hàng hóa
voting	bầu cử
accounting	kế toán
anymore	nữa không
secure	đảm bảo
unhappiness happiness	sự buồn, nỗi buồn
disappointed	thất vọng
late	muộn
school	trường học
continue	tiếp tục
basically	về cơ bản
tile	ngói
hat	nón
inherent	vốn có
realize	nhận ra
brush	chải
given	được
definite	xác định, định rõ, rõ ràng
last	Cuối cùng
adapt	phỏng theo
wash	rửa
weight	cân nặng
cheerful	vui mừng, phấn khởi, hồ hởi
uncomfortable	khó chịu
pro	pro
allegedly	bị cáo buộc
warn	cảnh báo
warm	ấm áp
exaggerated	cường điệu, phòng đại
guilty	tội lỗi
measure	đo
institutional	thể chế
receipt	công thức; đơn thuốc
coastal	duyên hải
swim	bơi
basement	tầng hầm
curved	cong
impossible	Không thể nào
effort	cố gắng
video	video
dried	khô
surroundings	vùng xung quanh, môi trường xung quanh
wave	làn sóng
anything	bất cứ điều gì
agriculture	nông nghiệp
yesterday	hôm qua
weapon	vũ khí
minimal	tối thiểu
retired	nghỉ hưu
steady	vững chắc
vote	bỏ phiếu
early	sớm
unlike like	không giống, khác
disease	dịch bệnh
yes	Vâng
yet	chưa
technician	kỹ thuật viên
engineer	kỹ sư
endorse	chứng thực
alike	như nhau
genius	Thiên tài
colour	màu sắc; tô màu
infrastructure	cơ sở hạ tầng
typical	điển hình
initially	ban đầu
time	thời gian
tray	cái mâm
shadow	bóng
make sure	chắc chắn, làm cho chắc chắn
happy	vui mừng
program	chương trình
infant	trẻ sơ sinh
put	đặt
artifact	đồ tạo tác
her	cô ấy
offence	sự vi phạm, sự phạm tội
carbon	carbon
unload	cất gánh nặng, dỡ hàng
trap	bẩy
hey	Chào
struggle	đấu tranh
okay	đuợc
lesson	bài học
heritage	gia tài
ambulance	xe cứu thương, xe cấp cứu
philosophy	triết học
slope	dốc
junior	em
light	ánh sáng
passenger	hành khách
terrific	khủng khiếp
apparently	dường như
tiny	nhỏ bé
worship	sự tôn thờ, sự tôn sùng; thờ, thờ phụng, tôn thờ
lawn	bãi cỏ
valuable	quý giá
look forward to	mong đợi cách hân
infection	nhiễm trùng
artist	họa sĩ
make-up	đồ hóa trang, son phấn
lazy	lười biếng
tourism	du lịch
alien	người ngoài hành tinh
layer	lớp
smart	thông minh
triangle	hình tam giác
tourist	du lịch
elite	ưu tú
suburban	ngoại ô
helmet	mũ bảo hiểm
theme	chủ đề
confusing	khó hiểu, gây bối rối
smash	đập, vỡ tan thành mảnh; sự đập, vỡ tàn thành mảnh
tire	lốp xe
barrel	thùng
editor	người biên tập
chain	chuỗi
desire	khao khát
efficient	hiệu quả
chair	cái ghế
unfortunately	không may
consistent	thích hợp
lately	gần đây
reverse	đảo ngược
tennis	quần vợt
sword	thanh kiếm
earnings	thu nhập
january	tháng giêng
chat	nói chuyện, tán gẫu; chuyện phiếm, chuyện gẫu
permanent	dài hạn
foster	nuôi dưỡng
organized	tổ chức
garden	vườn
choice	lựa chọn
travel	du lịch
facility	cơ sở
small	nhỏ bé
beam	chùm tia
beak	mỏ chim
civilization	nền văn minh
before	trước
fiction	viễn tưởng
replace	thay thế
appointment	cuộc hẹn
stomach	Dạ dày
him	anh ta
hip	hông
listen	nghe
Austria	nước Áo
hit	đánh
his	của anh ấy
major	chính
beat	tiết tấu
emphasis	nhấn mạnh
interrupt	làm gián đoạn
worldwide	trên toàn thế giới
bear	chịu
grandfather	ông nội
consider	xem xét
potential	tiềm năng
bean	hạt đậu
group	nhóm
repeatedly	nhiều lần
gross	Tổng
porch	hiên nhà
workshop	xưởng
resist	kháng cự
straighten	làm thẳng
tree	cây
history	lịch sử
stimulate	kích thích
careless	sơ suất, cầu thả
square	Quảng trường
twice	hai lần
soak	ngâm
absolutely	chắc chắn rồi
soar	bay lên
deserted	hoang vắng, không người ở
managing	quản lý
sustain	duy trì
soap	xà bông
classify	phân loại
request	yêu cầu
colony	thuộc địa
wagon	toa xe
their	họ
point	điểm
banking	ngân hàng
debut	ra mắt
general	chung
september	tháng 9
frighten	làm sợ, làm hoảng sợ
hospital	bệnh viện
dimension	kích thước
wildlife	động vật hoang dã
ceiling	Trần nhà
deserve	xứng đáng
process	quá trình
restore	phục hồi
alternative	thay thế
chef	đầu bếp
clear	trong sáng
eighth	thứ tám
crowded	Đông người
of course	dĩ nhiên
encounter	gặp gỡ
clean	dọn dẹp
meal	bữa ăn
sock	bít tất
approve	tán thành
mean	nghĩa là
neither	cũng không
glad	vui vẻ
meat	thịt
chew	nhai
hurry	vội
account	tài khoản
attendance	sự tham dự
developmental	phát triển
sometime	thỉnh thoảng
mostly	chủ yếu
innocent	vô tội
beef	thịt bò
alphabet	bảng chữ cái, bước đầu, điều cơ bản
advance	nâng cao
evaluation	đánh giá
trip	chuyến đi
appreciate	đánh giá
trim	cắt tỉa
diverse	phong phú
killer	sát thủ
find out sth	khám phá, tìm ra
hunting	săn bắn
strict	nghiêm khắc
beer	bia
rally	biểu tình
safely	an toàn
you	bạn
jump	nhảy
knowledge	hiểu biết
soft	mềm mại
prime	nguyên tố
happen	xảy ra
sofa	ghế sô pha
festival	lễ hội
loyal	trung thành
preference	sở thích
delighted	vui mừng, hài lòng
mainstream	dòng chính
active	đang hoạt động
july	tháng 7
opportunity	cơ hội
court	tòa án
Olympic	Olympic
venture	liên doanh
population	dân số
enthusiasm	hăng hái
route	lộ trình
African-American	Người Mỹ gốc Phi
flexible	linh hoạt
used to sth/to doing sth	sử dụng cái gì, sử dụng để làm cái gì
organ	đàn organ
mirror	gương
depict	miêu tả
sustainable	bền vững
unwilling	không sẵn lòng, miễn cưỡng
soil	đất
bottle	chai
hot	nóng bức
characteristic	đặc trưng
interior	Nội địa
how	làm sao
capability	khả năng
involvement	sự tham gia
spark	tia lửa
farming	công việc trồng trọt, đồng áng
assembly	hội,, tổ hợp
hearing	thính giác
wedding	lễ cưới
parental	cha mẹ
spare	phụ tùng
chip	Chip
chin	cái cằm
tail	đuôi
emotional	đa cảm
thursday	thứ 5
pistol	súng lục
assemble	tập hợp
noticeable	đáng chú ý, đáng để ý
march	tháng Ba
transition	quá trình chuyển đổi
blast	vụ nổ
give up	bỏ, từ bỏ
mutter	lẩm bẩm
june	tháng 6
answer	câu trả lời
meet	gặp
series	loạt
thrive	phát đạt
purse	cái ví
represent	đại diện
compete	cạnh tranh
celebrity	người nổi tiếng
thickness	tính chất dày, độ dày, bề dày
sometimes	đôi khi
leave out	bỏ quên, bỏ sót
listener	người nghe
promise	lời hứa
hold	giữ
tale	câu chuyện
correctly	đúng
trail	đường mòn
prior	trước
rubber	cao su
trait	đặc điểm
underwear	quần lót
talk	nói chuyện
tall	cao
landmark	mốc
reply	Đáp lại
vanish	biến mất
give birth	sinh ra
train	xe lửa
coordinator	điều phối viên
commonly	thông thường
planet	hành tinh
count	đếm
scholar	học giả
take	lấy
vision	tầm nhìn
accompany	đi kèm
immediate	ngay lập tức
blame	khiển trách
relatively	tương đối
reckon	tính, đếm
confusion	sự nhầm lẫn
some	một số
blank	chỗ trống
beginning	bắt đầu
session	phiên họp
additional	bổ sung
primarily	chủ yếu
soften	làm mềm
reception	tiếp nhận
tank	xe tăng
just	chỉ
bloody	dính máu
notice	để ý
owner	chủ nhân
sole	Duy Nhất
Mexican	Mexico
midnight	nữa đêm
jury	ban bồi thẩm
grandson	cháu trai
holy	thánh
monitor	giám sát
Soviet	Liên Xô
strictly	nghiêm khắc
home	nhà
hole	lỗ
existing	hiện tại
print	in
although	mặc dù
approximately	xấp xỉ
material	vật chất
encouragement	niềm cổ vũ, động viên, khuyến khích, sự làm can đảm
spectacular	đẹp mắt
iron	bàn là
diplomat	nhà ngoại giao
huh	Huh
hug	ôm
president	chủ tịch
explain	giải thích
basket	cái rổ
hope	mong
go up	đi lên
soon	Sớm
executive	điều hành
tablet	tấm, bản, thẻ phiến
hook	cái móc
melt	tan chảy
tape	băng
bend	bẻ cong
action	hoạt động
stadium	sân vận động
casualty	tai nạn
song	bài hát
belt	thắt lưng
chop	chặt
cream	kem
protest	phản đối
sensitive	nhạy cảm
Japanese	tiếng Nhật
bell	chuông
heavy	nặng
afford	đủ khả năng
underground	dưới mặt đất, ngầm dưới đất; ngầm
biological	sinh học
impression	ấn tượng
machinery	máy móc, thiết bị
unpleasant	không dễ chịu, khó chịu, khó ưa
Persian	Người Ba Tư
deliver	giao hàng
phenomenon	hiện tượng
summer	mùa hè
eight	tám
trailer	trailer
file	tập tin
in charge of	phụ trách
member	hội viên
disapprove	không tán thành, phản đối, chê
together	cùng với nhau
illness	bệnh
faucet	vòi
socially	xã hội
within	bên trong
could	có thể
hoever	ai, người nào, bất cứ ai, bất cứ người nào, dù ai
bent	khiếu, sở thích, khuynh hướng
strike	đình công
health	Sức khỏe
positive	tích cực
trigger	cò súng
menu	thực đơn
rental	thuê
o'clock	giờ
prospect	khách hàng tiềm năng
radar	radar
machine	máy móc
refugee	người tị nạn
able	có thể
efficiently	có hiệu quả, hiệu nghiệm
evening	tối
workplace	nơi làm việc
return	trở về
specialize	chuyên môn hóa
rotate	Quay
instance	ví dụ
concerned	liên quan
conscience	lương tâm
practically	thực tế
serve	phục vụ
short-term	thời gian ngắn
cough	ho, sự ho, tiếng hoa
drown	chết chìm
blade	lưỡi
radio	radio
smile	nụ cười
confused	bối rối, lúng túng, ngượng
make fun of	đùa cợt, chế giễu, chế nhạo
solution	dung dịch
fine	khỏe
find	tìm thấy
opponent	phản đối
host	chủ nhà
accelerate	đẩy nhanh
anti- prefix	chống lại
backward	về phía sau, lùi lại
dramatically	đột ngột
international	quốc tế
regardless	bất kể
selected	đã chọn
upward	lên, hướng lên, đi lên
citizen	công dân
take  over	chở, chuyển cái gì; tiếp quản, kế tục cái gì
illustrate	Minh họa
occur	xảy ra
pleasant	dễ chịu
relaxing	làm giảm, bớt căng thẳng
a bit	một chút, một tí
difficult	khó khăn
breeze	khoe khoang
film	phim ảnh
seriously	nghiêm túc
sort	sắp xếp
fill	lấp đầy
dentist	nha sĩ
heart	tim
trash	rác
painter	họa sĩ
millimetre	mi-li-met
forget	quên
professor	Giáo sư
convenient	tiện lợi, thuận lợi, thích hợp
horn	sừng
task	bài tập
specialist	chuyên gia
transit	quá cảnh
true	đúng, thật
adolescent	thanh niên
sore	đau, nhức
valley	thung lũng
position	Chức vụ
present	hiện tại
curtain	tấm màn
laughter	tiếng cười
softly	nhẹ nhàng
since	kể từ
Congress	Hội nghị
sentiment	tình cảm
soup	Súp
belong	thuộc về
patent	bằng sáng chế
soul	Linh hồn
certificate	giấy chứng nhận, bằng, chứng chỉ
dangerous	nguy hiểm
best	tốt
mess	lộn xộn
sour	chua, có vị giấm
transform	biến đổi
rented	được thuê, được mướn
hour	giờ
advise	khuyên nhủ
competitor	đối thủ
leadership	khả năng lãnh đạo
magnitude	độ lớn
troubled	gặp rắc rối
genuine	chính hãng
mid- combining form	tiền tố: một nửa
experienced	có kinh nghiệm
certainly	chắc chắn
execution	chấp hành
immune	miễn dịch
spokesman	người phát ngôn
equation	phương trình
impressive	ấn tượng
compound	hợp chất
shocked	bị kích động, bị va chạm, bị sốc
master	bậc thầy
extraordinary	bất thường
concerning	có liên quan
attraction	sức hút
the definite article	cái, con, người, ấy này....
conventional	thông thường
regulation	Quy định
complicate	làm phức tạp, rắc rối
puzzle	câu đố
accommodation	sự thích nghi, điều tiết
evident	hiển nhiên
mere	chỉ là
online	Trực tuyến
suburb	ngoại ô
writer	nhà văn
fence	hàng rào
coming	đang đến
annoy	chọc tức, làm bực mình; làm phiền, quẫy nhiễu
glue	keo, hồ; gắn lại, dán bằng keo, hồ
United	United
scream	hét lên
cover	che
theatre	rạp hát, nhà hát
firm	chắc chắn
reflect	phản chiếu
contribution	sự đóng góp
coughing	ho
have auxiliary	có
ongoing	đang diễn ra
outfit	trang phục
fire	ngọn lửa
runner	người chạy
symbolic	tượng trưng
in memory of	sự tưởng nhớ
distinguish	phân biệt
spray	Xịt nước
taxi	xe tắc xi
decorative	để trang hoàng, để trang trí, để làm cảnh
something	cái gì đó
vitamin	vitamin
intention	ý định
pointed	nhọn, có đầu nhọn
enthusiastic	hăng hái, say mê, nhiệt tình
row name	hàng, dãy
rude	bất lịch sự, thô lỗ; thô sơ, đơn giản
symptom	triệu chứng
thereby	bằng cách ấy
funeral	tang lễ
processing	Chế biến
except	ngoại trừ
impulse	thúc đẩy
foreigner	người nước ngoài
infectious	lây, nhiễm
religious	Tôn giáo
shower	vòi hoa sen
functional	chức năng
nevertheless	Tuy nhiên
saturday	thứ 7
fact	thực tế
prominent	nổi bật
fundamental	căn bản
global	toàn cầu
fist	nắm tay
entitle	quyền lợi
outline	đề cương
counselor	cố vấn
fade	phai màu
unless	trừ khi
temperature	nhiệt độ
perspective	quan điểm
operating	điều hành
free	miễn phí
galaxy	Thiên hà
equality	bình đẳng
ought	nên
honour	danh dự, thanh danh, lòng kính trọng
invade	xâm chiếm
reaction	phản ứng
trousers	quần
thorough	cẩn thận, kỹ lưỡng
knitting	việc đan; hàng dệt kim
people	những người
democracy	dân chủ
actually	thực ra
evolve	phát triển
face	đối mặt
abandon	từ bỏ
afraid	sợ
fish	cá
household	hộ gia đình
invite	mời gọi
operation	hoạt động
ratio	tỉ lệ
calculation	phép tính
alarming	làm lo sợ, làm hốt hoảng, làm sợ hãi
instinct	bản năng
afterward	sau đó
reputation	uy tín
ice	Nước đá
shrug	nhún vai
independence	độc lập
inside	phía trong
mainly	chủ yếu
motorcycle	xe mô tô
presentation	trình bày
whenever	bất cứ khi nào
awkward	vụng về, lung túng
five	số năm
ruin	phá hoại
cheaply	rẻ, rẻ tiền
impatient	thiếu kiên nhẫn, nóng vội
celebrate	ăn mừng
spill	tràn
please	xin vui lòng
collection	bộ sưu tập
finding	Phát hiện
hunger	đói
opposed to	chống lại, phản đối
squad	đội hình
laboratory	phòng thí nghiệm
Latin	Latin
campaign	chiến dịch
look after	trông nom, chăm sóc
vital	quan trọng
conflict	cuộc xung đột
loudly	ầm ĩ, inh ỏi
rough	thô
lawsuit	kiện tụng
father	cha
detect	phát hiện
rule	qui định
update	cập nhật
condemn	lên án
get off	ra khỏi, thoát khỏi
assistance	hỗ trợ
poem	bài thơ
definition	Định nghĩa
poet	bài thơ
wonder	ngạc nhiên
every	mỗi
sit down	ngồi xuống
mansion	biệt thự
shave	cạo
summary	tóm lược
again	lần nữa
refuge	nơi ẩn náu
dramatic	kịch tính
taxpayer	người nộp thuế
spine	xương sống
theology	thần học
indeed	thật
guitar	đàn ghi ta
artificial	nhân tạo
imaginary	tưởng tượng, ảo
removal	gỡ bỏ
comment	bình luận
employ	thuê
folding	gấp lại được
during	suốt trong
fair	hội chợ
Asian	Châu Á
consist	bao gồm
preparation	chuẩn bị
critic	nhà phê bình
grammar	văn phạm
enable	cho phép
price	giá bán
safety	an toàn
defensive	phòng ngự
slavery	chế độ nô lệ
decoration	sự trang hoàng, đồ trang hoàng, trang trí
dependent	phụ thuộc
profession	chuyên nghiệp
briefly	ngắn gọn
arise	nảy sinh
agree	đồng ý
swelling	sự sưng lên, sự phồng ra
imagination	trí tưởng tượng
resistance	sức đề kháng
underneath	dưới, bên dưới
dancer	vũ công
fail	Thất bại
enjoyment	sự thích thú, sự có được, được hưởng
itself	chinh no
enjoyable	thú vị, thích thú
spectrum	quang phổ
anyone	bất kỳ ai
pride	tự hào
breakfast	bữa ăn sáng
favorite	yêu thích
broadcast	phát sóng
steel	Thép
steep	dốc
thumb	ngón tay cái
seize	tịch thu
church	nhà thờ
classical	cổ điển
isolated	bị cô lập
privilege	đặc quyền
feel sick	buồn nôn
substitute	người, vật thay thế; thay thế
foreign	ngoại quốc
uniform	đồng phục
fall	ngã
moreover	hơn thế nữa
mysterious	huyền bí
scatter	tiêu tan
violate	xâm phạm
collective	tập thể
steer	chỉ đạo
event	biến cố
buddy	Bạn bè
undergo	trải qua
wherever	ở đâu
finger	ngón tay
agency	đại lý
railroad	đường sắt
homework	bài tập về nhà
fascinating	hấp dẫn
abstract	trừu tượng
agenda	chương trình nghị sự
nice	tốt đẹp
appearance	xuất hiện
liquid	chất lỏng
culture	nền văn hóa
anonymous	vô danh
cannot	không thể
fisherman	ngư dân
first	Đầu tiên
need modal	cần, đòi hỏi; sự cần
perfect	hoàn hảo
prefer	thích hơn
fewer	ít hơn
clearly	thông suốt
poll	thăm dò ý kiến
minority	thiểu số
pole	cây sào
tight	chặt chẽ
space	không gian
waiter, waitress	người hầu bàn, người đợi, người trông chờ
reference	tài liệu tham khảo
conspiracy	âm mưu
chamber	buồng
spite	bất bình
arrange	sắp xếp
theater	rạp hát
nephew	cháu trai
Spanish	người Tây Ban Nha
from	từ
publicity	công khai
depart	khởi hành
bench	Băng ghế
bottom	đáy
ill	bệnh
commitment	cam kết
finished	hoàn tất, hoàn thành
poke	xô
covered	có mái che, kín đáo
speaker	loa
publisher	nhà xuất bản
fame	danh tiếng
intervention	can thiệp
replacement	thay thế
pond	ao
repair	sửa
the rest	vật, cái còn lại, những người, cái khác
could modal	có thể
death	tử vong
steak	miếng bò hầm
arrival	sự đến
steal	lấy trộm
advice	khuyên bảo
according	theo
frequent	Thường xuyên
interact	tương tác
membership	thành viên
powder	bột
error	lỗi
network	mạng
terrorist	khủng bố
jealous	ghen,, ghen tị
seemingly	có vẻ
trace	dấu vết
paper	giấy
public	công cộng
array	mảng
terrorism	khủng bố
nominee	ứng cử viên
steam	hơi nước
track	theo dõi
value	giá trị
fortune	vận may
quantity	số lượng
ink	mực
rush	vội vã
expensive	đắt
performance	hiệu suất
trade	buôn bán
currently	hiện tại
round	tròn
ambassador	đại sứ
growth	sự phát triển
weave	dệt
carrot	cà rốt
normally	bình thường
fare	giá vé
bicycle	Xe đạp
accuracy	tính chính xác
resolution	độ phân giải
building	Tòa nhà
spouse	vợ / chồng
setting	cài đặt
properly	đúng
score	ghi bàn
quote	Trích dẫn
graduate	tốt nghiệp
poor	nghèo nàn
farm	nông trại
terrain	địa hình
grief	đau buồn
ashamed	ngượng, xấu hổ
unlikely	không chắc
rat	con chuột
excellent	Xuất sắc
virtually	hầu như
fairly	công bằng
pool	bơi
raw	thô
lighting	thắp sáng
sprinkle	rắc
airport	sân bay
cultural	văn hoá
exam	thi
Islam	đạo Hồi
municipal	thành phố
institute	viện, học viện
endure	chịu đựng
placement	vị trí
poster	áp phích
hobby	sở thích riêng
shortly	ngay
firmly	vững chắc
southern	phía Nam
criterion	tiêu chuẩn
fate	số phận
throat	họng
essence	Bản chất
unkind	độc ác, tàn nhẫn
manual	sổ tay
pork	thịt heo
uncertainty	tính không chắc chắn
dollar	đô la mỹ
rolling	lăn
French	người Pháp
vocabulary	từ vựng
retire	về hưu
aspect	khía cạnh
unsteady steady	không đúng mực, không vững, không chắc
aggressive	xâm lược
God	thần
close	gần
chemistry	hóa học
photo	hình chụp
embarrassment	sự lúng túng, sự bối rối
swing	lung lay
fast	Nhanh
invasion	cuộc xâm lăng
workout	tập thể dục
loosely	lỏng lẻo
spin	quay
grocery	tạp hóa
shallow	nông
spit	nhổ
register	ghi danh
fleet	hạm đội
nine	chín
couple	vợ chồng
Russian	Người Nga
communicate	giao tiếp
rural	nông thôn
blonde	hoe vàng, mái tóc hoe vàng
fortunately	may mắn
acid	axit
red	đỏ
act	hành động
transmission	truyền tải
agricultural	nông nghiệp
post	bài đăng
duck	con vịt
offender	tội phạm
shortage	sự thiếu
finish	hoàn thành
add	thêm vào
educational	giáo dục
pose	đặt ra
its	của nó
wrapping	vật bao bọc, vật quấn quanh
consent	bằng lòng
article	bài báo
respect	sự tôn trọng
shelf	kệ
retreat	rút lui
mutual	lẫn nhau
port	Hải cảng
shell	vỏ
mobile phone	điện thoại đi động
therefore	vì thế
adjustment	điều chỉnh
exchange	trao đổi, giao dịch
hesitate	do dự
go wrong	mắc lỗi, sai lầm
rifle	súng trường
income	thu nhập
trust	Lòng tin
production	sản xuất
united	liên minh, đoàn kết, chung, thống nhất
choose	chọn
jeans	Quần jean
peaceful	bình yên
overnight	qua đêm
prevent	ngăn chặn
behave	hành xử
undo	tháo, gỡ; xóa bỏ, hủy bỏ
disturbing	phiền
laser	laser
previously	trước đây
happiness	hạnh phúc
mixture	hỗn hợp
sorry	lấy làm tiếc
pasta	mỳ ống
scope	phạm vi
can modal	có thể; nhà tù, nhà giam, bình, ca đựng
democratic	dân chủ
surveillance	giám sát
embrace	ôm hôn
identify	nhận định
citizenship	quyền công dân
pour	đổ
northeast	đông bắc
one number,	một; một người, một vật nào đó
label	nhãn
improvement	cải tiến
message	thông điệp
modify	sửa đổi
truth	sự thật
age	tuổi tác
feminist	nữ quyền sĩ
aesthetic	thẩm mỹ
college	trường đại học
prime minister	thủ tướng
movie	bộ phim
tendency	khuynh hướng
ago	trước
rib	xương sườn
rid	thoát khỏi
carbohydrate	carbohydrate
variation	biến thể
number	con số
disappointment	thất vọng
punish	trừng phạt
reinforce	củng cố
casual	giản dị
odds	tỷ lệ
rim	rim
decline	từ chối
property	bất động sản
rip	Yên nghỉ
strangely	lạ, xa lạ, chưa quen
debris	mảnh vụn
Catholic	Công giáo
nothing	không có gì
testing	thử nghiệm
whistle	sự huýt sáo, sự thổi còi; huýt sáo, thổi còi
handle	xử lý
isolation	cô lập
tough	khó khăn
script	kịch bản
exit	lối thoát
happily	hạnh phúc
system	hệ thống
